X33310	X28197	X19373	X16527	X27415	X24394	X28531	X27585	X27766	X26940
X65	0.0363	-1.08	-1.84	-1.09	-2.43	-1.83	-0.776	-1.85	-1.88	-1.61
X66	0.111	-0.296	-0.163	-0.472	-0.25	-1.43	0.342	-0.213	-0.312	-1.03
X68	-0.0255	0.223	0.452	0.344	0.959	0.348	-0.21	0.465	0.347	0.149
X69	0.0617	0.362	0.0398	0.449	-0.308	-0.224	-3.85e-08	1.07	0.19	0.261
X72	-0.485	0.0828	-0.651	-0.114	-0.0669	-0.458	-0.264	-0.587	-0.994	-0.0365
X74	0.0175	-0.501	-0.738	-0.705	-0.481	-0.0276	-0.327	-1.23	-0.983	0.0556
X76	0.0231	1.14	1.06	1.21	0.377	0.687	0.668	0.691	0.65	0.693
X81	-0.0691	1.41	1.67	1.31	1.47	2.24	1.7	0.397	0.905	2.04
X83	0.389	-0.392	0.205	-0.383	-0.0143	-0.472	0.22	0.655	0.186	-0.0285
X91	0.0908	0.585	-0.355	0.525	-0.291	-0.465	-0.655	-0.0562	-0.505	-0.143
X92	-0.195	-0.909	-0.554	-0.735	-1.24	-1.36	-0.331	-0.59	-0.888	-0.718
X93	0.296	-0.0224	-0.345	0.0513	-0.418	-0.45	-0.337	-1.12	-0.82	-0.698
X98	-0.13	-0.0923	0.0779	0.0347	-0.37	-0.205	-0.241	0.286	-0.0874	-0.21
X99	0.0379	-0.297	-0.891	-0.254	-0.94	-0.995	-0.818	-0.386	-0.773	-1.01
X100	-0.22	-0.42	0.282	-0.487	-0.124	0.287	-0.0931	0.555	0.253	0.431
X101	0.165	-3.01	-3.55	-2.99	-3.27	-3.21	-3.11	-3.52	-3.35	-2.77
X104	0.165	-0.852	0.405	-0.761	0.0574	0.0377	0.0652	0.464	0.581	-0.0995
X108	-0.253	0.759	0.64	1.3	0.968	0.828	0.543	1.07	0.653	0.939
X109	-0.39	0.935	0.886	1.1	0.859	0.674	0.328	0.625	0.702	0.725
X110	-0.208	0.759	0.828	1.28	1.6	1.09	0.708	0.568	0.638	0.992
X115	-0.144	0.634	1.5	0.584	1.59	1.02	0.834	1.01	1.45	0.684
X116	0.0353	0.0055	0.992	0.061	0.884	0.877	1.1	1.2	1.04	0.957
X117	0.583	-0.137	-0.198	-0.225	0.0635	-0.217	0.0247	-0.129	-0.357	0.157
X118	-0.281	0.545	0.409	0.449	0.796	0.677	0.748	-0.289	0.291	0.368
X119	0.0395	-1.18	-2.17	-1.27	-1.8	-1.51	-1.35	-1.87	-2.05	-1.72
X120	-0.477	0.765	1.62	0.639	2.33	2.01	1.07	1.61	1.57	1.94
X121	-0.595	0.0747	0.485	0.101	0.314	0.223	-0.0296	0.818	0.592	0.155
X122	-0.109	-2.23	-2.38	-2.18	-2.3	-2.19	-1.33	-2.68	-2.42	-2.5
X123	-0.333	0.849	1.65	1	0.927	0.916	0.461	1.56	1.19	0.957
X124	-0.0852	0.588	0.0409	-0.0819	-0.235	-0.399	0.348	0.183	-0.118	-0.653
X125	-0.0841	0.711	0.569	0.947	0.337	0.453	-0.208	-0.278	0.416	0.667
X129	-0.508	-0.0054	0.389	0.0682	0.258	-0.0899	-0.418	0.717	0.336	-0.182
X130	-0.286	0.363	0.053	0.306	0.465	0.43	0.126	-0.676	-0.0825	0.136
X132	-0.0898	-1.51	-1.22	-1.29	-1.75	-1.35	-1.73	-1.29	-1.43	-1.27
X134	0.539	-1.42	-2.6	-1.68	-1.25	-2.64	-0.417	-1.94	-2.71	-2.07
X136	-0.318	0.577	0.898	0.602	1.12	1.08	0.511	0.445	0.587	0.799
X144	-0.141	0.0516	-0.214	0.0681	-0.488	1.1e-09	-0.0772	-0.0986	-0.017	-0.0574
X147	0.181	0.129	-0.331	0.395	0.135	-0.0282	-0.148	-1.06	-0.833	-0.335
X151	-0.0839	0.0359	0.871	0.467	0.6	0.594	0.759	1.36	0.883	0.594
X152	0.446	-1.82	-2.74	-1.65	-2.22	-2.05	-1.68	-2.95	-1.75	-2.21
