X33706	X31968	X30209	X33558	X31687	X28531	X16817	X31787	X17154	X19241	X17241	X26586	X29650	X26146	X31242	X22086	X31453	X32904	X34574	X30258	X25054	X31471
X24	-0.351	-0.853	-0.607	-0.501	0.155	-0.647	-0.489	-0.828	0.71	-0.781	-1.15	-0.171	1.22	-0.231	-0.374	-0.876	-0.217	-0.336	-0.206	-0.718	-0.704	-1.29
X25	0.137	-0.0319	0.105	-0.1	-0.239	0.771	-0.242	0.683	0.85	0.625	0.623	0.217	1.95	1.21	0.257	-0.0672	-0.334	0.036	0.0497	-0.222	0.0419	-0.203
X26	-0.264	-0.0288	-0.537	-0.308	-0.106	-0.286	-1.45	-0.352	0.222	0.883	0.232	-0.595	0.557	-0.643	-0.515	0.242	-0.113	-0.261	-0.328	-0.687	0.281	-0.218
X27	-0.298	-0.0608	-0.266	0.0303	0.172	0.665	-0.125	-0.16	0.714	0.946	0.341	-0.544	-0.0628	-0.51	0.0103	-0.137	-0.339	-0.458	-0.23	-0.283	-0.182	-0.192
X30	0.188	0.101	0.203	-0.0674	-0.178	-0.65	0.125	-0.211	-0.505	0.00725	-0.616	0.334	-0.506	0.555	0.407	0.75	0.702	-0.743	0.279	0.776	0.817	0.887
X34	0.0884	-0.108	0.0348	-0.0698	0.335	-0.436	0.0749	-0.364	-0.174	0.992	-0.369	-0.0763	-0.143	0.687	0.135	0.0907	0.0258	0.0712	0.0973	-0.178	0.309	-0.103
X41	-0.702	0.355	0.253	-0.266	0.669	-0.939	0.416	-1.28	-1.01	0.204	-1.21	0.472	-0.693	0.215	0.582	0.171	0.557	0.134	0.331	0.876	-1.55e-10	0.391
X44	0.279	0.257	0.842	-0.105	0.52	-0.632	0.454	-0.502	-0.0193	-1.7	0.0323	0.341	-0.647	0.269	0.731	0.104	0.0389	0.224	0.618	-0.274	0.131	0.617
X45	0.0907	3.09e-09	0.149	0.107	-0.115	-0.0872	-0.123	0.0632	-0.753	0.124	-0.179	0.0549	-0.0648	-0.129	0.116	-0.507	-0.247	-0.00382	0.446	0.166	0.0158	-0.0496
X48	0.284	0.587	0.996	-0.489	-1.42	-1.03	1.31	-1.23	-2.08	-0.76	-1	0.777	-1.12	1.3	-0.121	1.09	1.14	0.0307	0.972	0.282	-1.63	0.377
X50	0.0812	0.339	0.382	0.0528	-0.274	0.671	0.623	0.505	0.791	-0.208	0.977	-0.655	-0.176	0.179	0.151	0.437	0.153	0.165	0.0168	0.64	0.781	0.704
X51	-1.03	0.0891	-0.329	-0.758	0.0996	0.391	0.176	0.467	0.0516	0.126	0.889	-0.319	0.126	-0.577	-0.248	-0.556	-0.405	-0.281	-0.619	-0.191	-0.69	0.27
X59	0.672	-0.225	-0.0704	-0.0238	0.0305	0.274	0.102	-0.0611	-0.323	0.433	-0.156	0.144	-0.185	-0.124	0.672	-0.0192	0.278	-0.0115	0.412	-0.588	0.02	-0.375
X61	1.3	-0.273	-0.757	0.389	-0.675	-1.11	-0.0878	-0.902	-0.958	-0.247	-0.358	1.89	-0.946	0.392	1.11	0.213	0.0816	1.11	1.51	-0.528	0.317	-0.961
X62	-0.0296	-0.353	0.0843	0.161	-0.0619	0.414	-0.251	0.283	-0.502	-0.999	-0.254	-0.0817	-0.4	-0.751	-0.245	1.05	0.595	1.19	-0.209	0.719	0.684	0.891
X65	0.0304	0.418	0.411	-0.0209	0.407	-0.776	0.0206	-0.475	0.434	2.28	-0.924	0.0506	0.458	0.0267	0.0538	-0.358	-0.0022	-0.133	-0.175	0.644	0.136	0.644
X66	-0.131	-0.931	-0.0392	-0.634	0.0661	0.342	-0.0218	-0.0565	-1.65	0.912	-0.755	-0.068	-0.386	0.0975	0.429	0.059	0.22	-0.115	0.14	-0.121	-0.0024	0.0104
X68	-0.159	-0.365	-0.383	-0.362	0.309	-0.21	-0.791	-0.0428	0.186	0.217	-0.0996	-0.501	0.218	-0.183	-0.284	-0.124	-0.235	-0.144	-0.304	-0.34	-0.624	-0.481
X69	-0.736	0.178	0.367	-0.171	0.418	-3.85e-08	-0.217	-0.319	-0.18	0.335	0.751	-0.298	-0.515	0.0532	0.749	-0.32	-0.143	0.244	-0.666	0.44	-0.213	0.342
X72	0.18	-0.32	-0.263	-0.297	0.27	-0.264	-0.635	-0.305	-1.02	1.27	0.0592	-0.557	0.466	0.214	-0.318	-0.147	-0.0818	0.122	-0.584	-0.126	-0.255	-0.293
X74	-0.139	-0.618	-0.406	-0.0184	0.441	-0.327	-0.364	-0.126	0.413	1.25	-0.317	-0.0496	1.95	-0.765	-0.179	-0.39	0.0896	-0.201	0.36	-0.081	0.0783	-0.0798
X76	-0.557	0.0568	0.326	-0.289	0.193	0.668	-0.534	0.685	0.0524	0.306	1.2	-0.912	-1.67	0.692	0.427	0.29	0.278	0.141	-0.579	0.992	-0.0089	0.749
X81	-0.232	-0.204	0.313	0.0993	0.091	1.7	-0.541	1.73	0.801	1.62	0.968	-0.19	0.412	0.278	-0.154	0.0501	-0.133	0.0798	0.296	0.315	-0.105	0.485
X83	0.0355	0.243	0.413	0.175	-0.194	0.22	0.383	-0.192	-0.69	-0.145	0.422	0.583	0.247	0.58	0.494	0.215	0.442	0.287	0.341	0.489	0.0329	0.351
X91	0.43	-0.0696	0.685	0.358	0.0129	-0.655	-0.099	-0.346	-0.25	-1.09	0.4	0.25	-0.558	1.05	-0.0223	0.255	0.422	0.859	-0.0738	0.379	0.17	0.224
X92	-0.0167	-0.228	-0.0458	0.0037	-0.33	-0.331	-0.425	-0.603	-0.533	0.623	-0.432	-0.186	-0.853	0.166	-0.284	0.0883	-0.362	-0.00513	-0.0593	-0.153	0.0614	-0.0296
X93	-0.111	0.22	0.125	-0.051	-0.142	-0.337	0.177	-0.131	-0.205	-0.627	-0.484	0.344	-0.142	0.423	0.648	0.161	0.81	-0.296	0.18	0.507	-0.239	-0.17
X98	-0.0061	-0.75	-0.0088	-0.236	-0.05	-0.241	-0.282	-0.188	-0.202	0.86	-0.00145	0.206	-0.483	-0.475	-0.02	-0.083	-0.0401	-0.0473	-0.58	-0.142	-0.0298	-0.165
X99	0.0345	-0.45	0.149	-0.114	-0.168	-0.818	-0.0652	-0.583	-0.187	0.458	-0.478	-0.344	-0.633	-0.466	0.226	-0.13	-0.153	-0.0798	-0.124	-0.438	-0.237	-0.384
X100	-0.245	-0.629	-0.981	-0.0612	-0.141	-0.0931	-0.522	0.0517	-0.771	-0.302	0.381	-0.679	-0.449	-0.378	-0.0771	0.0952	-0.423	-0.3	-0.788	-0.574	-0.287	-0.538
X101	0.944	0.199	0.753	0.811	-0.368	-3.11	0.388	-2.5	-1.47	-1.24	-2.52	-0.367	-2.07	1.45	0.347	-0.0503	-0.489	0.105	0.212	0.954	0.564	1.07
X104	0.249	1.2	0.297	0.136	0.34	0.0652	-0.311	0.167	0.598	-0.186	-0.154	0.147	-0.249	-0.282	0.229	-0.0484	-0.109	0.167	0.318	-0.637	-0.44	-0.446
X108	-0.325	0.0891	0.362	-0.0492	-0.365	0.543	-0.0392	0.964	0.803	0.379	0.795	-0.0405	1.65	-0.621	0.309	-0.452	0.081	-0.109	-0.865	0.451	0.32	0.338
X109	-0.643	-0.0986	0.0095	0.151	0.766	0.328	-0.193	0.643	0.609	-1.1	0.703	-0.0842	1.6	-0.0245	-0.506	0.0041	-0.272	-0.776	-0.227	-0.513	-0.562	-0.414
X110	-0.137	0.536	-0.16	0.387	0.712	0.708	-0.191	0.432	1.09	-0.6	1.06	-0.797	0.869	0.253	0.253	-0.154	-0.521	-0.12	0.0622	-0.321	0.371	0.0763
X115	0.028	-0.195	-0.643	0.347	0.398	0.834	-0.346	1.19	0.459	-0.307	0.484	0.128	2.07	-0.841	-0.31	0.364	-0.137	0.145	-0.621	-0.542	0.0617	-0.713
X116	-0.427	-0.0858	0.607	0.098	0.202	1.1	0.867	0.826	0.619	0.122	0.615	-0.629	0.113	-0.0198	0.266	0.259	0.507	0.551	0.628	0.214	-0.168	0.371
X117	0.148	0.203	0.765	0.501	-0.776	0.0247	1.27	-0.248	-0.87	-1.37	0.317	-0.117	-1.4	1.55	0.776	0.788	0.374	0.706	0.683	0.781	0.577	1.17
X118	-0.381	-0.231	-0.226	0.0045	0.475	0.748	-0.144	-0.0448	0.273	0.763	0.0641	-0.441	0.637	-0.393	0.0401	-0.605	-0.346	-0.0463	-0.245	-0.488	-0.421	-1.13
X119	0.813	-0.265	0.22	0.297	0.415	-1.35	-0.26	-1.98	0.03	2.34	-1.33	0.137	0.699	0.503	0.0772	-0.188	-0.159	0.0296	0.622	0.707	0.494	0.8
X120	0.0526	-0.197	-0.121	-0.0626	-0.413	1.07	-0.277	1.01	0.263	-0.0431	1.62	0.436	-0.0016	0.136	-0.0793	0.221	0.185	0.2	0.351	0.418	0.776	0.643
X121	1.43	-0.338	-0.583	0.0948	-0.307	-0.0296	-0.543	0.18	-0.714	0.443	0.0351	-0.252	0.359	-0.141	-0.641	-0.0063	-0.0398	-0.289	-0.0136	-0.904	0.0193	-0.722
X122	0.284	-0.157	0.122	-0.0596	-0.488	-1.33	-0.334	-2.59	0.393	1.05	-2.24	0.505	0.71	-0.377	0.0011	0.141	-0.124	0.0615	-0.154	0.725	0.627	0.132
X123	-0.335	-0.0808	0.632	-0.127	0.504	0.461	-0.653	0.492	0.362	0.824	0.79	0.0884	1.68	-0.322	-0.19	-0.482	-0.237	-0.7	0.0487	0.416	0.304	0.982
X124	0.00681	-6e-04	0.245	0.325	-0.0744	0.348	0.542	0.119	0.171	-0.538	-0.498	0.0953	0.25	-0.308	-0.368	0.229	0.43	-0.364	-0.127	0.049	-0.139	-0.152
X125	-0.276	0.257	-0.0739	0.0293	0.0462	-0.208	-0.2	0.0033	-0.465	0.0525	0.483	0.125	0.442	0.126	0.646	-0.112	-0.282	0.102	-0.125	-0.203	-0.0579	-0.206
X129	0.377	-0.546	-0.29	0.0132	-0.0296	-0.418	-0.322	0.496	-0.153	0.493	0.00385	0.0175	0.66	-0.551	-0.127	-0.32	-0.398	-0.101	-0.517	-0.78	-0.0023	-0.424
X130	-0.3	-0.428	-0.487	-0.083	0.0859	0.126	-0.0974	-0.0426	0.805	1.23	-0.144	0.0171	-0.0199	-0.209	-0.38	-0.0457	-0.068	-0.44	0.0782	-0.561	-0.138	-0.719
X132	0.613	-0.378	-0.615	0.355	1.52	-1.73	-0.325	-0.458	-0.467	-1.18	-1.33	0.0158	1.02	-0.32	-0.346	-0.108	-0.45	-0.139	0.6	-0.45	0.521	-0.271
X134	1.35	-0.633	0.146	0.448	-0.751	-0.417	0.152	-0.713	-1.29	-1.05	-1.25	0.13	-0.72	0.0595	-0.0263	0.877	0.951	0.0163	0.863	0.41	0.371	1.04
X136	-1.21	0.0843	0.0269	0.117	-0.191	0.511	-0.764	-0.148	0.755	0.503	0.833	0.0795	-0.0122	-0.761	-0.444	-0.233	0.249	-0.525	-0.393	-0.764	-0.533	-0.545
X144	0.35	0.122	-0.16	0.0149	-0.0352	-0.0772	-0.121	-0.514	-0.246	-2.02	-0.1	0.552	-0.212	-0.0273	0.621	-0.0632	0.0703	-0.282	0.345	1.01	0.299	0.56
X147	0.163	0.281	0.367	0.126	0.228	-0.148	0.264	-0.287	0.934	1.38	-0.622	-0.543	-0.766	-0.321	0.329	0.124	0.0048	0.483	-0.0971	-0.0932	-0.197	0.745
X151	-0.0983	0.223	-0.129	0.282	-0.0154	0.759	0.0248	0.426	0.0267	-0.403	0.451	-0.217	-0.216	-0.195	0.421	0.639	0.406	0.058	0.0263	-0.0633	0.0561	0.239
X152	0.0394	0.159	0.598	-0.0982	-0.156	-1.68	0.187	-1.62	0.179	-0.704	-1.99	-0.133	0.0709	0.228	0.629	0.344	0.556	0.526	0.0236	0.332	0.578	0.331
